epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6238.31,1.14923,1.7381,1.46672,0.60124,0.61495,0.62883,0.42202,1.06422,1.24365,1.42192,0.001189,0.001189,0.001189
91,6311.27,1.04979,1.38362,1.44982,0.60489,0.63292,0.64718,0.43831,1.05383,1.24111,1.41651,0.00109,0.00109,0.00109
92,6372.1,1.03708,1.30494,1.43288,0.58556,0.63933,0.63373,0.43789,1.04252,1.23454,1.40647,0.000991,0.000991,0.000991
93,6433.25,1.00606,1.2583,1.40698,0.60099,0.65637,0.65079,0.44995,1.03294,1.19949,1.39988,0.000892,0.000892,0.000892
94,6493.1,0.99608,1.24518,1.4006,0.5951,0.64348,0.65237,0.45208,1.02998,1.18854,1.40039,0.000793,0.000793,0.000793
95,6553.64,0.97677,1.22749,1.39089,0.61569,0.63497,0.65341,0.45487,1.01127,1.17557,1.38524,0.000694,0.000694,0.000694
96,6614.4,0.96858,1.21084,1.37576,0.6064,0.621,0.65203,0.45446,1.01326,1.17829,1.37614,0.000595,0.000595,0.000595
97,6672.82,0.9597,1.19144,1.36791,0.65698,0.62042,0.66548,0.46614,1.01047,1.16097,1.38206,0.000496,0.000496,0.000496
98,6731.3,0.95355,1.18077,1.3645,0.62249,0.64578,0.66263,0.46333,1.00991,1.15752,1.38043,0.000397,0.000397,0.000397
99,6791.98,0.93721,1.15877,1.3539,0.63293,0.63248,0.66939,0.46826,0.99648,1.14893,1.3753,0.000298,0.000298,0.000298
100,6853.18,0.92383,1.14048,1.34409,0.64612,0.62089,0.66881,0.47222,0.99498,1.14601,1.37134,0.000199,0.000199,0.000199
